condition,examples,chrf,bleu,number_preservation_rate,unit_preservation_rate,dosage_preservation_rate,medicine_name_preservation_rate,negation_preservation_rate,warning_preservation_rate,warning_rate,elapsed_seconds,seconds_per_example
base,50,61.11253617555709,36.38122630588284,0.98,0.78,1.0,0.84,1.0,0.98,0.34,108.584,2.172
sft,50,65.25456680949269,43.607605730811116,0.98,0.78,1.0,0.84,1.0,0.98,0.32,123.153,2.463
rag,50,68.45872101939403,47.84220474866133,0.98,0.78,1.0,0.84,1.0,0.98,0.34,133.059,2.661
